procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0  99584 170764      0 15795892    3    0 175900  9441 9544 9813 10 10 49 32  0
 3  1  98816 367284      0 15611524    7    0 124342     2 6995 12282 16  7 52 24  0
 1  2 102144 178536      0 15797384  191  300 133322   308 16211 23942 11  7 49 34  0
 0  3 107776 173464      0 15800296  306  548 127969   550 14406 20216 13  6 51 30  0
 3  0 114432 573244      0 15400088   17  470 69074   477 11069 11629 24 10 51 14  0
 1  1 111872 180740      0 15790408  818  130 92109   133 2842 3252  8  6 77  9  0
 3  0 116480 176504      0 15762132  519  715 95518   724 10383 13583 12  6 70 12  0
 3  0 119040 184144      0 15769548  421  516 34359   519 6899 6618 31  9 53  6  0
 1  0 101376 163208      0 15831240 1189  663 39812   674 4093 3868 10  5 79  6  0
 1  0  99328 169180      0 15826256   62   45 40941    47 2775  270 16  1 83  0  0
 1  0  99328 169056      0 15826320    2    0     2    14 1124  206 17  0 83  0  0
 1  0  99328 168032      0 15826720   42    0    71     0 1182  243 16  1 83  0  0
 3  0  98816 170680      0 15808132   27    8 26029    16 3589 2180 19  7 71  4  0
 1  0  98816 555228      0 15385860  293  289 24937   301 8876 7338 23 15 56  6  0
 3  0  98560 166148      0 15819912   18    0 34069    10 3273 4224 25 15 55  4  0
 3  0  98560 169388      0 15785388   43   22 64989    36 2371 2052 20  4 67  9  0
 1  3 123392 161096      0 15742024    9 1658 68744  1674 7917 13344 17  4 62 17  0
 0  4 158976 138412      0 15727100 2488 3366 103138  4190 8242 13516 10  4 47 39  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  3  98560 175160      0 15706216 3251  733 117837 60071 6458 11067 10  5 47 37  0
 2  1  98560 1292844      0 14590536    2    1 97757     1 8201 10073 25  4 56 14  0
 3  0  98816 182328      0 15687424    2   19 103437 13683 14011 14092 22  5 50 23  0
 3  0  98816 895652      0 14980880    0    1  9984 76366 5738 4029 37  4 54  5  0
 3  0  98816 998460      0 14901324    0    0   310 90027 3809 3243 39  4 53  3  0
 3  0  98816 1461008      0 14533492   50    0 16210 90019 4088 14565 36  4 55  4  0
 3  0  98816 169652      0 15809208    8    4 111803    14 7766 61946 27  6 58  9  0
 0  1  98560 170240      0 15806248   12    5 119190     7 11339 58549 22  5 64  9  0
 2  0  98560 168064      0 15808500    0    0 121177    28 12031 55117 21  4 67  9  0
 3  0  98560 166820      0 15809628   38   16 111471    17 9131 24856 25  6 56 13  0
 3  0  98560 164756      0 15812364    0    0 121032    11 15757 50887 23  5 65  8  0
 0  1  98560 173836      0 15802632    0    0 127735     3 11736 51706 21  4 66  8  0
 0  1 100096 172644      0 15805916    4   83 160469    92 9387 46728 19  4 68  8  0
 3  0  99072 156236      0 15820900   57    2 95101     5 10619 41556 18  5 68  9  0
 3  0  99072 170976      0 15805592    3    0 101932    10 17810 63070 21  5 71  3  0
 3  0 100096 180936      0 15796560    6   76 114334    79 16436 64385 21  4 71  3  0
 3  0  99328 181244      0 15797060   46   43 97286    46 10192 54583 20  6 68  6  0
 0  1  99840 163988      0 15812804   88   71 83718    72 12265 66078 22  5 69  4  0
 3  0 101120 183280      0 15794028   19   86 113405    88 15448 63326 22  4 72  3  0
 3  0  98048 176940      0 15800696  230    2 114832    12 11910 47337 17  6 65 12  0
 0  3 106752 166136      0 15719892   14  576 125856   577 11481 22465 10  6 52 32  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0  99328 176440      0 15686320 1088  522 63816   531 7958 12505 16  3 67 14  0
 2  0  98560 189212      0 15678528   98   32 10391  6240 3148 3322 24  3 71  2  0
 1  0  98560 464980      0 15493000    0    0     0    13 1854 2977 20  0 80  0  0
 1  0  98560 461016      0 15494892    1    0     1     2 2575 4071 26  3 71  0  0
 1  0  98560 466708      0 15490252    0    0     6    10 2611 4278 26  4 70  0  0
 1  2  97536 172584      0 15805408  101   60 94824    61 4101 4075 12  3 75 10  0
 3  0 100864 180600      0 15789556  142  332 174845   338 9883 11868 12  7 57 25  0
 1  0 103936 182108      0 15802608  468  548 103441   550 10909 13882 18  6 53 22  0
 0  3  97536 164324      0 15812944  628  309 47323   322 5476 4341 31 10 52  7  0
 0  0  97536 198152      0 15806100   11    0 25047     5 1661 1595  6  3 88  3  0
